,date,location,C8_International travel controls,residential_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,C8_International travel controls_high,C8_International travel controls_low,residential_percent_change_from_baseline_high,residential_percent_change_from_baseline_low,grocery_and_pharmacy_percent_change_from_baseline_high,grocery_and_pharmacy_percent_change_from_baseline_low
0,2020-11-15,Aruba,-1.0,5.0,-12.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
1,2020-11-15,Afghanistan,0.0,4.0,55.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
2,2020-11-15,Angola,-4.0,6.5,-14.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
3,2020-11-15,United Arab Emirates,-2.0,8.75,-0.375,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
4,2020-11-15,Argentina,-3.0,10.932203389830509,-19.16355140186916,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
5,2020-11-15,Australia,-3.0,2.0416666666666665,2.515151515151515,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
6,2020-11-15,Austria,0.0,6.9375,-47.875,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
7,2020-11-15,Belgium,0.0,10.214285714285714,-18.285714285714285,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
8,2020-11-15,Benin,-1.0,1.3333333333333333,37.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
9,2020-11-15,Burkina Faso,-1.0,-1.0,41.333333333333336,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
10,2020-11-15,Bangladesh,0.0,7.0,18.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
11,2020-11-15,Bulgaria,-3.0,1.0,-5.244897959183674,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
12,2020-11-15,Bahrain,-1.0,9.0,-10.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
13,2020-11-15,Bosnia and Herzegovina,-1.0,-3.0,2.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
14,2020-11-15,Belarus,0.0,1.0,-10.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
15,2020-11-15,Belize,0.0,6.0,0.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
16,2020-11-15,Bolivia,-1.0,8.26086956521739,-13.923076923076923,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
17,2020-11-15,Brazil,0.0,1.6862745098039216,42.06713780918728,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
18,2020-11-15,Barbados,0.0,5.0,-19.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
