Country,Date,Sentiment Score,Positive,Negative
MY,2020-03-21,0.22361111116666665,5,1
BR,2020-03-21,-0.03888888899999999,1,2
PH,2020-03-21,-0.06516203716666667,3,3
NG,2020-03-21,0.14492674758333335,28,8
IT,2020-03-21,0.16527777783333333,5,1
DE,2020-03-21,0.10687344996874998,25,7
ID,2020-03-21,0.04069264071428572,5,2
SA,2020-03-21,0.19999999999999998,2,1
CA,2020-03-21,0.16588768113043478,19,4
US,2020-03-21,0.14372505804977367,383,59
NL,2020-03-21,0.08882857587500001,12,4
AU,2020-03-21,0.0578493641,8,2
AE,2020-03-21,0.0005902777500000067,7,1
GB,2020-03-21,0.07832747420408162,75,23
IL,2020-03-21,0.11666666659999998,4,1
DK,2020-03-21,0.09054924233333334,2,1
KE,2020-03-21,0.1587782587777778,8,1
PK,2020-03-21,0.010468319545454553,8,3
PT,2020-03-21,-0.011111111,2,1
ZA,2020-03-21,-0.03524130191666666,9,3
CN,2020-03-21,0.12291666675,3,1
IN,2020-03-21,0.1823768217748345,136,15
CH,2020-03-22,-0.07222222233333334,2,1
MY,2020-03-22,-0.12121212133333333,2,1
JP,2020-03-22,-0.1371212123333333,1,2
DE,2020-03-22,0.08922405877272727,18,4
VN,2020-03-22,-0.05,1,1
KE,2020-03-22,0.21916666669999998,8,2
GB,2020-03-22,0.11316821847619052,72,12
GH,2020-03-22,-0.025,2,3
ZA,2020-03-22,0.17472280582352948,14,3
CA,2020-03-22,0.16625558028,22,3
BR,2020-03-22,0.22380952385714284,5,2
NZ,2020-03-22,0.049431818,3,1
SG,2020-03-22,0.10833333349999999,1,1
AU,2020-03-22,0.02727272730000001,6,4
NG,2020-03-22,0.1746658102051282,35,4
IN,2020-03-22,0.1277683532753623,179,28
ES,2020-03-22,0.15,3,1
IE,2020-03-22,0.20669793171428572,5,2
NL,2020-03-22,0.2832459207692308,12,1
CN,2020-03-22,-0.25,1,1
US,2020-03-22,0.12381428981194685,377,75
AE,2020-03-22,0.12811259916666665,11,1
IT,2020-03-22,-0.0010101009999999994,1,1
ID,2020-03-22,0.07988898583333333,10,2
VN,2020-03-23,-0.0564814815,2,2
AT,2020-03-23,0.09907407400000001,2,1
KE,2020-03-23,-0.011388889000000008,5,1
GH,2020-03-23,0.014047619,3,1
IN,2020-03-23,0.17291099868674703,143,23
NL,2020-03-23,0.26178787886666666,14,1
IE,2020-03-23,-0.11893939400000002,3,3
BE,2020-03-23,0.07272727266666666,5,1
AU,2020-03-23,0.17242939812500002,15,1
CN,2020-03-23,-0.027272726999999997,1,1
US,2020-03-23,0.11932255890024937,339,62
IT,2020-03-23,0.073604798,4,1
MX,2020-03-23,0.0627435065,3,1
ID,2020-03-23,0.25201719566666664,10,2
DE,2020-03-23,0.04641203705555555,15,3
TH,2020-03-23,0.08333333300000001,1,1
NG,2020-03-23,0.2487171253541667,47,1
PK,2020-03-23,0.303030303,10,1
ZA,2020-03-23,0.10156519109677418,22,9
PH,2020-03-23,0.240643939375,7,1
CA,2020-03-23,0.16855295969565218,20,3
BR,2020-03-23,0.225,9,1
NZ,2020-03-23,0.023671085749999994,2,2
ES,2020-03-23,-0.06666666666666667,5,1
GB,2020-03-23,0.14842352228440364,92,17
AE,2020-03-23,0.1699462574615385,11,2
AE,2020-03-24,0.09571428571428571,4,3
AU,2020-03-24,0.12796902847058822,14,3
TR,2020-03-24,0.016927083250000002,3,1
NL,2020-03-24,0.13415977963636364,10,1
FR,2020-03-24,0.1833333335,1,1
US,2020-03-24,0.11829812514929576,304,51
AT,2020-03-24,0.2375,1,1
